X,CH1,CH2,
Second,Volt,Volt,
-1.6547780e-01,-3.00000e+02,-4.00000e-02,
-1.6543780e-01,-3.00000e+02,-4.00000e-02,
-1.6539779e-01,-3.00000e+02,-4.00000e-02,
-1.6535780e-01,-3.00000e+02,-4.00000e-02,
-1.6531780e-01,-3.00000e+02,-4.00000e-02,
-1.6527779e-01,-3.00000e+02,-4.00000e-02,
-1.6523780e-01,-3.00000e+02,-4.00000e-02,
-1.6519780e-01,-3.00000e+02,-4.00000e-02,
-1.6515779e-01,-3.00000e+02,-4.00000e-02,
-1.6511780e-01,-3.00000e+02,-4.00000e-02,
-1.6507779e-01,-3.00000e+02,-4.00000e-02,
-1.6503780e-01,-3.00000e+02,-4.00000e-02,
-1.6499780e-01,-3.00000e+02,-4.00000e-02,
-1.6495779e-01,-3.00000e+02,-4.00000e-02,
-1.6491780e-01,-3.00000e+02,-4.00000e-02,
-1.6487780e-01,-3.00000e+02,-4.00000e-02,
-1.6483779e-01,-3.00000e+02,-4.00000e-02,
-1.6479780e-01,-3.00000e+02,-4.00000e-02,
-1.6475780e-01,-3.00000e+02,-4.00000e-02,
-1.6471779e-01,-3.00000e+02,-4.00000e-02,
-1.6467780e-01,-3.04000e+02,-7.20000e-02,
-1.6463780e-01,-3.08000e+02,-3.20000e-02,
-1.6459779e-01,-3.04000e+02,-4.80000e-02,
-1.6455780e-01,-3.04000e+02,-4.80000e-02,
-1.6451779e-01,-3.00000e+02,-2.40000e-02,
-1.6447780e-01,-3.04000e+02,-5.60000e-02,
-1.6443780e-01,-3.04000e+02,-2.40000e-02,
-1.6439779e-01,-3.00000e+02,-4.00000e-02,
-1.6435780e-01,-3.00000e+02,-3.20000e-02,
-1.6431780e-01,-3.04000e+02,-6.40000e-02,
-1.6427779e-01,-3.04000e+02,-4.80000e-02,
-1.6423780e-01,-3.04000e+02,-3.20000e-02,
-1.6419780e-01,-3.04000e+02,-4.00000e-02,
-1.6415779e-01,-3.04000e+02,-6.40000e-02,
-1.6411780e-01,-3.00000e+02,-4.80000e-02,
-1.6407780e-01,-3.04000e+02,-4.80000e-02,
-1.6403779e-01,-3.04000e+02,-3.20000e-02,
-1.6399780e-01,-3.00000e+02,-4.80000e-02,
-1.6395780e-01,-3.00000e+02,-8.00000e-03,
-1.6391779e-01,-3.00000e+02,-2.40000e-02,
-1.6387780e-01,-2.96000e+02,-4.80000e-02,
-1.6383779e-01,-3.00000e+02,-6.40000e-02,
-1.6379780e-01,-2.92000e+02,-7.20000e-02,
-1.6375780e-01,-2.88000e+02,-7.20000e-02,
-1.6371779e-01,-2.88000e+02,-4.80000e-02,
-1.6367780e-01,-2.84000e+02,-8.00000e-02,
-1.6363780e-01,-2.84000e+02,-5.60000e-02,
-1.6359779e-01,-2.80000e+02,-8.80000e-02,
-1.6355780e-01,-2.72000e+02,-7.20000e-02,
-1.6351780e-01,-2.72000e+02,-7.20000e-02,
-1.6347779e-01,-2.64000e+02,-8.00000e-02,
-1.6343780e-01,-2.64000e+02,-7.20000e-02,
-1.6339780e-01,-2.60000e+02,-9.60000e-02,
-1.6335779e-01,-2.56000e+02,-5.60000e-02,
-1.6331780e-01,-2.56000e+02,-7.20000e-02,
-1.6327780e-01,-2.52000e+02,-1.04000e-01,
-1.6323780e-01,-2.48000e+02,-1.12000e-01,
-1.6319780e-01,-2.48000e+02,-8.80000e-02,
-1.6315779e-01,-2.48000e+02,-9.60000e-02,
-1.6311780e-01,-2.44000e+02,-8.80000e-02,
-1.6307780e-01,-2.40000e+02,-1.36000e-01,
-1.6303779e-01,-2.40000e+02,-1.28000e-01,
-1.6299780e-01,-2.36000e+02,-1.12000e-01,
-1.6295780e-01,-2.36000e+02,-8.80000e-02,
-1.6291779e-01,-2.32000e+02,-9.60000e-02,
-1.6287780e-01,-2.32000e+02,-1.44000e-01,
-1.6283780e-01,-2.28000e+02,-1.04000e-01,
-1.6279779e-01,-2.24000e+02,-1.28000e-01,
-1.6275780e-01,-2.24000e+02,-1.20000e-01,
-1.6271780e-01,-2.20000e+02,-1.44000e-01,
-1.6267779e-01,-2.20000e+02,-1.68000e-01,
-1.6263780e-01,-2.12000e+02,-1.28000e-01,
-1.6259779e-01,-2.12000e+02,-1.12000e-01,
-1.6255780e-01,-2.08000e+02,-1.44000e-01,
-1.6251780e-01,-2.00000e+02,-1.44000e-01,
-1.6247779e-01,-1.96000e+02,-1.76000e-01,
-1.6243780e-01,-1.92000e+02,-1.76000e-01,
-1.6239780e-01,-1.92000e+02,-1.84000e-01,
-1.6235779e-01,-1.84000e+02,-1.76000e-01,
-1.6231780e-01,-1.80000e+02,-1.76000e-01,
-1.6227780e-01,-1.80000e+02,-1.84000e-01,
-1.6223779e-01,-1.76000e+02,-2.08000e-01,
-1.6219780e-01,-1.72000e+02,-1.92000e-01,
-1.6215780e-01,-1.64000e+02,-1.92000e-01,
-1.6211779e-01,-1.64000e+02,-1.84000e-01,
-1.6207780e-01,-1.60000e+02,-2.24000e-01,
-1.6203780e-01,-1.56000e+02,-1.84000e-01,
-1.6199780e-01,-1.52000e+02,-1.92000e-01,
-1.6195780e-01,-1.48000e+02,-2.00000e-01,
-1.6191779e-01,-1.48000e+02,-2.16000e-01,
-1.6187780e-01,-1.44000e+02,-2.40000e-01,
-1.6183780e-01,-1.44000e+02,-2.08000e-01,
-1.6179779e-01,-1.36000e+02,-2.08000e-01,
-1.6175780e-01,-1.32000e+02,-2.64000e-01,
-1.6171780e-01,-1.32000e+02,-2.56000e-01,
-1.6167779e-01,-1.28000e+02,-2.32000e-01,
-1.6163780e-01,-1.24000e+02,-2.64000e-01,
-1.6159780e-01,-1.20000e+02,-2.56000e-01,
-1.6155779e-01,-1.16000e+02,-3.20000e-01,
-1.6151780e-01,-1.12000e+02,-2.72000e-01,
-1.6147780e-01,-1.12000e+02,-2.80000e-01,
-1.6143779e-01,-1.04000e+02,-2.56000e-01,
-1.6139780e-01,-1.00000e+02,-2.72000e-01,
-1.6135779e-01,-9.20000e+01,-3.04000e-01,
-1.6131780e-01,-8.80000e+01,-2.72000e-01,
-1.6127780e-01,-8.80000e+01,-2.72000e-01,
-1.6123779e-01,-8.40000e+01,-2.96000e-01,
-1.6119780e-01,-8.00000e+01,-3.36000e-01,
-1.6115780e-01,-7.60000e+01,-3.04000e-01,
-1.6111779e-01,-7.20000e+01,-3.04000e-01,
-1.6107780e-01,-6.80000e+01,-3.28000e-01,
-1.6103780e-01,-6.80000e+01,-3.04000e-01,
-1.6099779e-01,-6.00000e+01,-3.12000e-01,
-1.6095780e-01,-5.60000e+01,-3.04000e-01,
-1.6091780e-01,-5.20000e+01,-2.88000e-01,
-1.6087779e-01,-4.80000e+01,-3.20000e-01,
-1.6083780e-01,-4.40000e+01,-3.20000e-01,
-1.6079780e-01,-4.00000e+01,-3.28000e-01,
-1.6075779e-01,-4.00000e+01,-3.36000e-01,
-1.6071780e-01,-3.60000e+01,-3.12000e-01,
-1.6067779e-01,-3.20000e+01,-3.28000e-01,
-1.6063780e-01,-2.80000e+01,-3.36000e-01,
-1.6059780e-01,-2.80000e+01,-3.28000e-01,
-1.6055779e-01,-2.00000e+01,-3.36000e-01,
-1.6051780e-01,-2.00000e+01,-3.12000e-01,
-1.6047780e-01,-1.60000e+01,-3.52000e-01,
-1.6043779e-01,-1.20000e+01,-3.28000e-01,
-1.6039780e-01,-8.00000e+00,-3.20000e-01,
-1.6035780e-01,-8.00000e+00,-3.28000e-01,
-1.6031779e-01,-4.00000e+00,-3.04000e-01,
-1.6027780e-01,0.00000e+00,-2.96000e-01,
-1.6023780e-01,4.00000e+00,-3.28000e-01,
-1.6019779e-01,4.00000e+00,-3.28000e-01,
-1.6015780e-01,1.20000e+01,-2.96000e-01,
-1.6011779e-01,1.60000e+01,-3.28000e-01,
-1.6007780e-01,1.60000e+01,-2.72000e-01,
-1.6003780e-01,2.00000e+01,-2.64000e-01,
-1.5999779e-01,2.80000e+01,-2.80000e-01,
-1.5995780e-01,3.20000e+01,-2.88000e-01,
-1.5991780e-01,3.60000e+01,-2.64000e-01,
-1.5987779e-01,4.00000e+01,-2.40000e-01,
-1.5983780e-01,4.80000e+01,-2.64000e-01,
-1.5979780e-01,4.80000e+01,-2.48000e-01,
-1.5975779e-01,5.20000e+01,-2.72000e-01,
-1.5971780e-01,5.60000e+01,-2.56000e-01,
-1.5967780e-01,6.00000e+01,-2.32000e-01,
-1.5963779e-01,6.00000e+01,-2.40000e-01,
-1.5959780e-01,6.40000e+01,-2.24000e-01,
-1.5955780e-01,6.80000e+01,-2.32000e-01,
-1.5951779e-01,7.60000e+01,-2.00000e-01,
-1.5947780e-01,7.60000e+01,-2.24000e-01,
-1.5943779e-01,8.40000e+01,-2.08000e-01,
-1.5939780e-01,8.40000e+01,-1.84000e-01,
-1.5935780e-01,8.80000e+01,-1.92000e-01,
-1.5931779e-01,9.20000e+01,-1.60000e-01,
-1.5927780e-01,9.60000e+01,-1.36000e-01,
-1.5923780e-01,1.00000e+02,-1.52000e-01,
-1.5919779e-01,1.04000e+02,-1.68000e-01,
-1.5915780e-01,1.08000e+02,-1.44000e-01,
-1.5911780e-01,1.12000e+02,-1.60000e-01,
-1.5907779e-01,1.16000e+02,-1.44000e-01,
-1.5903780e-01,1.20000e+02,-1.20000e-01,
